epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.5781,1.64231,2.74826,1.78577,0.02,0.92903,0.08356,0.03147,1.46059,2.8446,1.92998,2e-05,2e-05,0.09802
2,20.0271,1.74513,2.83209,1.80696,0.02014,0.93548,0.09229,0.03328,1.5002,2.82437,1.92724,4.9505e-05,4.9505e-05,0.0950495
3,21.1557,1.45793,2.73419,1.59079,0.02111,0.98065,0.16131,0.07898,1.35516,2.35129,1.2722,7.8416e-05,7.8416e-05,0.0920784
4,22.493,1.01203,2.40924,1.2643,0.01806,0.83871,0.07972,0.03305,2.26584,2.46964,1.82887,0.000106733,0.000106733,0.0891067
5,23.7341,0.8666,2.18549,1.10251,0.01847,0.85806,0.09262,0.03661,2.30432,2.44142,1.83238,0.000134456,0.000134456,0.0861345
6,25.0975,0.72328,1.81155,1.08095,0.01528,0.70968,0.10263,0.0375,2.90513,2.78592,2.28203,0.000161585,0.000161585,0.0831616
7,26.3049,0.64721,1.62971,1.00599,0.01264,0.5871,0.08816,0.0379,3.03625,2.94185,2.4965,0.00018812,0.00018812,0.0801881
8,27.5316,0.65827,1.49977,1.01693,0.03407,0.64978,0.14245,0.0588,2.75675,2.77885,2.25452,0.000214061,0.000214061,0.0772141
9,28.7546,0.62944,1.42002,0.98297,0.04832,0.83871,0.29879,0.14823,1.86142,2.53465,1.60774,0.000239408,0.000239408,0.0742394
10,29.9967,0.52262,1.30882,0.93532,0.05223,0.88387,0.4184,0.22787,1.51932,2.33056,1.35864,0.000264161,0.000264161,0.0712642
11,31.2308,0.56324,1.24967,0.95662,0.08544,0.90968,0.56636,0.36746,1.12919,2.0143,1.1297,0.00028832,0.00028832,0.0682883
12,32.4334,0.59173,1.19415,0.97154,0.47986,0.73548,0.67987,0.50368,0.87182,1.79926,1.0057,0.000311885,0.000311885,0.0653119
13,33.6601,0.58277,1.09912,0.96278,0.67565,0.56446,0.64516,0.50309,0.85916,1.87607,1.07303,0.000334856,0.000334856,0.0623349
14,34.9115,0.54444,1.10782,0.93874,0.55721,0.3871,0.44514,0.27515,1.1387,2.3541,1.35996,0.000357233,0.000357233,0.0593572
15,36.2256,0.62031,1.10052,0.94529,0.55721,0.3871,0.44514,0.27515,1.1387,2.3541,1.35996,0.000379016,0.000379016,0.056379
16,37.4207,0.57748,1.00571,0.92197,0.46352,0.33548,0.35919,0.20519,1.21957,2.54641,1.45633,0.000400205,0.000400205,0.0534002
17,38.7199,0.54095,1.10911,0.96072,0.53655,0.29677,0.39687,0.23613,1.08088,2.37944,1.31066,0.0004208,0.0004208,0.0504208
